Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1980,2.93,2.35,2.32,-1.24,3.11,-1.38,-0.79,0.05,-9999,0.3,-1.56,-2.54
1981,-3.12,-2.94,-0.52,-2.82,4.21,-0.75,0.36,-1.11,-9999,6.13,0.34,2.57
1982,2.45,-0.37,1.85,-0.06,1.24,-0.2,1.18,0.18,-9999,1.31,2.89,0.93
1983,-0.43,0.54,2.39,2.38,3.83,3.97,4.46,2.12,-9999,0.93,4.93,6.31
1984,0.61,0.26,2.47,3.33,-1.25,4.68,3.91,3,-9999,3.02,0.92,2.22
1985,1,-0.19,1.94,2.08,-0.91,0.24,2.66,-1.75,-9999,2.15,5.24,1.39
1986,-0.48,2.92,-0.03,1.39,-0.1,0.42,2.69,1.03,-9999,1.9,1.36,-0.9
1987,-0.21,0.29,1.4,-2.55,0.74,-0.77,1.15,1.7,-9999,-1.08,0.45,1.03
1988,1.37,-0.5,0.43,-0.88,-0.11,-1.65,-2.78,-1.13,-9999,-4.06,0.97,-0.25
1989,-0.99,1.44,-0.94,-3.41,-3.06,-2.27,-1.06,-0.56,-9999,-1.71,-1.29,-1.44
1990,-2.37,-0.56,-1.22,-2.09,-2.04,-1.01,-0.3,-2,-9999,0.82,0.23,-0.1
1991,-0.15,-1.6,1.55,0.34,-0.83,0.08,0.89,0.69,-9999,-0.85,1.2,-1.03
1992,-1.49,-0.4,-0.8,-2.81,0.64,-1.06,2.45,-0.41,-9999,-0.94,1.24,0.15
1993,1.78,1.76,2.37,2.76,1.07,1.34,0.12,0.69,-9999,2.59,1.72,-0.3
1994,-0.95,0.66,-1.74,-0.31,-2.91,-2.53,-3.6,-0.8,-9999,1.67,1.95,-0.59
1995,0.62,0.05,0.12,1.76,9.68,2.9,3.26,-0.34,-9999,-0.01,-0.13,-1.19
1996,2.22,2.07,-0.83,0.68,-0.28,-1.02,-1.21,-2.61,-9999,1.82,3.07,1.9
1997,3.64,0.12,-1.43,3.88,1.44,0.87,-0.44,3.66,-9999,2.06,0.82,-0.18
1998,0.83,1.34,2.25,-0.07,-1.85,4.4,2.7,-0.65,-9999,2.8,0.33,-0.34
1999,0.84,0.46,-2.57,4.8,1.77,0.61,1.64,1.46,-9999,-2.74,-3.4,-1.43
2000,-0.62,0.55,-0.19,-1.77,-1.34,-2.3,-2.5,-1.11,-9999,-1.89,0.35,-0.46
2001,-1.48,-0.41,-1.43,-0.91,-1.87,-2.91,-2.13,0.03,-9999,-1.26,-0.51,-1.49
2002,-1.91,-2.7,-0.74,-2.87,-4.19,-4.59,-3.31,-1.93,-9999,0.69,0.08,-1.04
2003,-1.2,0.57,0.55,-0.52,-0.58,-0.68,-2.75,-1.71,-9999,-3.72,2.56,0.71
2004,-0.64,0.05,-3.03,-0.61,-2.09,-1.16,-1.09,-0.8,-9999,1.83,2.23,-0.4
2005,1.89,1.61,0.72,-0.2,0.12,4.79,0.23,-0.03,-9999,0.41,0.93,0.3
2006,0.32,-1.32,1.31,-1.89,-2.95,-3.62,-2.07,0.38,-9999,4.95,0.43,-0.06
2007,0.65,1.28,-1.19,-2.28,-1.39,-2.37,-2.08,-0.52,-9999,0.85,-2.98,4.68
2008,2.01,1.86,1,-0.02,1.31,0.76,-1.28,-1.15,-9999,-1.79,-1.25,1.2
2009,1.34,-0.59,0.22,1.56,-0.23,3.96,1.09,-1.1,-9999,1.13,-0.68,0.72
2010,-1,-0.51,-0.68,2.1,1.45,1.07,-0.03,1.19,-9999,0.95,1.98,4.99
2011,0.36,1.8,2.17,4.24,3.03,0.62,3.41,-0.59,-9999,-0.07,0.79,-1.84
2012,-1.76,0.39,-3.84,-3.53,-4.46,-5.37,-1.57,-3.01,-9999,-1.89,-2.93,0.81
2013,-1.03,-1.54,-1.83,2.25,-0.84,-3.1,-1.64,-1.78,-9999,3.06,0.83,0.81
2014,0.97,0.09,0.18,-0.86,-0.02,-1.82,-1.01,4.82,-9999,-1.19,0.58,0.36
2015,-1.76,-2,-2.87,-1.57,5.51,-1.03,0.89,-1.38,-9999,-1.84,1.24,1.28
2016,1.06,-0.09,1.21,1.64,2.51,-1.08,-1.62,-2.13,-9999,-1.88,-1.78,-0.19
2017,2.33,1.09,-2.79,-0.47,-0.27,-2.64,-4.17,-1.13,-9999,0.33,-2.18,-2.21
2018,-1.73,-1.18,-1.4,-1.05,-3.08,-4.1,-0.26,-2.07,-9999,2.11,-0.1,-0.79
2019,0.82,1.27,2.92,-0.52,3.25,3.5,0.16,-4.13,-9999,0.53,-0.02,1.08
2020,0.45,1.28,0.34,-1,-1.97,-1.01,-2.58,-4.23,-9999,-2.33,-1.97,-1.35
2021,-1.93,-1.31,-0.84,-2.35,-2.32,-9999,-9999,-9999,-9999,-,,
